id,client_id,card_brand,card_type,card_number,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,expires_date
1770,309,Visa,Credit,4800116569994473,201,YES,1,$5600,02/2020,2020,No,2029-02-01
3679,1946,Visa,Debit,4869845530765333,701,YES,2,$4488,07/2002,2015,No,2035-05-01
5701,1946,Visa,Credit,4231526239204033,499,YES,2,$12500,11/2014,2014,No,2029-11-01
4510,1674,Mastercard,Debit,5813611925507601,734,YES,2,$23432,09/2001,2022,No,2028-12-01
1461,482,Mastercard,Credit,5392697458480962,886,YES,2,$12100,02/2020,2020,No,2035-07-01
2296,877,Mastercard,Debit,5700734711260263,230,YES,1,$11973,03/2012,2026,No,2028-12-01
5048,128,Mastercard,Debit,5389442391430673,658,YES,2,$13601,10/2006,2014,No,2031-06-01
1462,128,Mastercard,Credit,5079116875907423,849,YES,2,$7800,02/2020,2020,No,2033-06-01
4269,775,Visa,Debit,4390425683290569,790,YES,2,$17816,08/2008,2016,No,2034-03-01
5188,1536,Mastercard,Debit,5217568630125704,625,NO,2,$17707,10/2010,2010,No,2033-01-01
3041,140,Mastercard,Debit,5529182104663869,182,YES,1,$19110,05/2010,2025,No,2035-02-01
5312,140,Mastercard,Debit,5489017664251289,196,YES,1,$13428,10/2016,2016,No,2028-08-01
3377,1874,Mastercard,Debit,5429789020188285,674,YES,1,$17872,06/2008,2022,No,2029-03-01
5789,1874,Mastercard,Credit,5301114615829913,425,YES,1,$12900,12/2003,2010,No,2029-10-01
2078,1874,Mastercard,Debit,5401948301255038,920,YES,2,$20634,03/2005,2007,No,2030-01-01
5866,1310,Visa,Credit,4295364044956974,656,YES,2,$12200,12/2006,2010,No,2035-03-01
1771,1689,Visa,Credit,4509365132510769,281,NO,2,$6600,02/2020,2020,No,2029-04-01
6132,1689,Mastercard,Debit,5068255294282305,890,YES,1,$25815,12/2017,2017,No,2035-08-01
2019,379,Mastercard,Debit,5910929635230868,525,YES,1,$21628,03/2001,2022,No,2034-11-01
3881,379,Mastercard,Debit,5400182448188961,412,YES,1,$24232,07/2009,2024,No,2031-09-01
1166,34,Mastercard,Debit,5039048842448184,339,YES,2,$10775,02/2009,2010,No,2034-01-01
3342,34,Mastercard,Debit (Prepaid),5672012369002302,598,YES,2,$105,06/2007,2013,No,2034-08-01
5622,822,Visa,Credit,4336733185475861,221,NO,2,$7100,11/2010,2010,No,2029-02-01
5424,822,Mastercard,Debit,5985582173054292,951,YES,1,$29351,11/2005,2007,No,2031-06-01
2558,822,Mastercard,Debit,5281056728185174,835,YES,2,$15125,04/2008,2026,No,2035-01-01
5385,822,Mastercard,Credit,5615660494634705,865,YES,2,$8000,11/2003,2022,No,2030-03-01
5596,822,Mastercard,Debit (Prepaid),5314878099448745,994,YES,1,$83,11/2010,2010,No,2034-05-01
6126,1780,Visa,Credit,4624747592911129,986,YES,2,$700,12/2016,2016,No,2030-12-01
3756,1806,Mastercard,Debit,5595562388674401,594,YES,2,$7488,07/2006,2016,No,2030-03-01
2079,811,Mastercard,Debit,5246337038556761,638,YES,2,$30971,03/2005,2020,No,2034-12-01
5277,811,Visa,Debit,4905540969337037,573,YES,1,$53036,10/2013,2013,No,2034-07-01
4358,811,Mastercard,Debit,5703849820939467,300,YES,1,$35750,08/2011,2025,No,2034-05-01
2318,811,Visa,Debit,4055403312631050,902,YES,1,$33375,03/2013,2013,No,2033-01-01
6019,1844,Visa,Debit (Prepaid),4587476056357151,858,YES,2,$22,12/2010,2010,No,2031-06-01
4421,1844,Discover,Credit,6521426249819196,608,YES,1,$13100,08/2014,2014,No,2029-07-01
3702,1844,Visa,Debit,4199712815274632,440,YES,1,$16516,07/2003,2025,No,2032-03-01
2854,1844,Mastercard,Credit,5172743861765175,906,YES,1,$15700,05/2026,2025,No,2028-06-01
4114,1844,Mastercard,Debit,5214643602729093,474,YES,1,$21058,08/2003,2007,No,2034-06-01
6127,1852,Visa,Debit (Prepaid),4966050979388902,585,YES,2,$91,12/2016,2016,No,2028-04-01
2477,1852,Mastercard,Credit,5247576622089394,379,YES,1,$13400,04/2005,2014,No,2033-03-01
5679,970,Visa,Debit,4682877628388639,846,NO,1,$25942,11/2012,2026,No,2035-11-01
1012,970,Mastercard,Credit,5882842508952744,614,YES,2,$10700,02/2003,2013,No,2028-09-01
1464,970,Mastercard,Credit,5637149260486793,630,YES,2,$4900,02/2020,2020,No,2033-08-01
1465,381,Mastercard,Credit,5115700923413241,587,NO,1,$18100,02/2020,2020,No,2031-01-01
3708,1296,Mastercard,Debit,5033428838471726,546,YES,2,$22660,07/2026,2007,No,2033-06-01
3087,1296,Discover,Credit,6969946254132652,588,YES,1,$19800,05/2011,2025,No,2034-07-01
3665,1296,Mastercard,Debit,5051066154001741,526,YES,2,$4317,07/2001,2025,No,2028-06-01
2014,1880,Mastercard,Debit,5456915066505066,553,NO,1,$14719,03/2000,2022,No,2028-10-01
4906,1880,Mastercard,Debit,5132664334960880,593,YES,1,$9532,09/2017,2017,No,2032-12-01
3757,1880,Mastercard,Credit,5752873844240568,486,YES,1,$10900,07/2006,2014,No,2035-04-01
5365,322,Mastercard,Credit,5494228198326752,428,YES,2,$6200,11/2001,2026,No,2029-12-01
5758,322,Mastercard,Debit,5392957769023387,803,YES,2,$4355,12/2025,2010,No,2030-05-01
5482,461,Mastercard,Debit,5182820825620434,126,YES,1,$28963,11/2007,2026,No,2033-11-01
3172,461,Mastercard,Debit,5102353988152905,667,YES,2,$20913,05/2016,2016,No,2030-02-01
1209,461,Mastercard,Debit,5033135709911480,170,YES,1,$23344,02/2010,2010,No,2033-06-01
5313,461,Mastercard,Debit,5611522756791997,882,YES,2,$33642,10/2016,2016,No,2030-07-01
4762,1165,Mastercard,Debit,5037404409791945,681,YES,1,$14695,09/2010,2025,No,2035-12-01
4685,1448,Visa,Debit,4083033843851772,173,YES,1,$29950,09/2008,2013,No,2032-05-01
5907,1448,Visa,Credit,4829916759482899,768,YES,2,$4600,12/2007,2025,No,2031-11-01
1013,1288,Mastercard,Debit,5879094230635425,729,YES,2,$9796,02/2003,2013,No,2032-09-01
5145,1178,Mastercard,Debit,5769435406360328,957,YES,1,$17826,10/2009,2024,No,2033-10-01
5854,1178,Mastercard,Debit,5588799529406913,778,YES,1,$19086,12/2006,2024,No,2028-07-01
5296,1178,Visa,Debit,4410685608952637,265,YES,2,$17345,10/2014,2014,No,2034-06-01
1327,1178,Visa,Debit,4470822684089911,923,YES,2,$17976,02/2013,2013,No,2028-04-01
5129,1391,Visa,Debit,4194362281636453,271,YES,2,$29573,10/2008,2024,No,2033-07-01
1466,54,Mastercard,Debit,5957925302951752,746,YES,1,$16375,02/2020,2020,No,2031-01-01
3801,1452,Mastercard,Debit,5476407228285230,688,YES,2,$53466,07/2007,2013,No,2030-10-01
6105,1602,Mastercard,Credit,5579147219556308,806,NO,2,$7200,12/2015,2015,No,2030-10-01
5231,1492,Mastercard,Debit,5188130978534931,446,YES,1,$12915,10/2011,2013,No,2033-05-01
2615,1492,Visa,Debit (Prepaid),4860320285002452,366,YES,2,$84,04/2009,2017,No,2030-07-01
2776,1492,Discover,Credit,6417599205270844,504,YES,2,$17600,04/2018,2018,No,2035-11-01
5452,1492,Mastercard,Debit,5516722949603675,621,YES,1,$31542,11/2006,2024,No,2032-04-01
3563,1492,Mastercard,Debit,5891053637541514,362,YES,2,$23049,06/2013,2013,No,2033-03-01
6134,1492,Visa,Debit,4222570131769035,141,YES,1,$29734,12/2017,2017,No,2031-12-01
4818,1492,Visa,Credit,4453742478192143,346,YES,2,$27000,09/2011,2016,No,2035-03-01
2171,1492,Mastercard,Debit (Prepaid),5335984658439104,320,YES,1,$18,03/2008,2010,No,2034-03-01
6106,688,Mastercard,Debit,5708150083756692,824,YES,1,$17848,12/2015,2015,No,2033-12-01
3042,688,Mastercard,Debit,5238684130320063,870,NO,1,$25563,05/2010,2010,No,2033-06-01
5209,688,Visa,Credit,4740880792169372,168,YES,2,$12000,10/2010,2010,No,2032-03-01
1773,749,Visa,Debit,4360859456629853,428,YES,3,$11873,02/2020,2020,No,2028-06-01
1467,749,Mastercard,Credit,5498016831726771,871,YES,1,$7200,02/2020,2020,No,2028-10-01
5597,643,Mastercard,Credit,5079302523329059,381,YES,2,$500,11/2010,2010,No,2032-02-01
1468,1219,Mastercard,Debit,5546998350637125,718,YES,1,$22697,02/2020,2020,No,2029-04-01
2309,1219,Mastercard,Credit,5326031764905960,437,YES,1,$18000,03/2013,2013,No,2032-05-01
3466,1219,Mastercard,Debit,5096150037217374,862,YES,1,$32903,06/2010,2010,No,2031-03-01
2804,1198,Visa,Debit,4489873116412364,547,YES,2,$12764,05/2025,2010,No,2034-12-01
4660,898,Mastercard,Debit,5923138803280580,934,YES,2,$7541,09/2008,2013,No,2033-11-01
3356,898,Visa,Debit,4447989421793048,995,YES,2,$1266,06/2007,2026,No,2032-06-01
4870,898,Mastercard,Credit,5000307662634780,263,NO,1,$9500,09/2014,2014,No,2031-09-01
3467,882,Mastercard,Debit,5707305515533516,203,YES,2,$1837,06/2010,2010,No,2034-08-01
1079,882,Mastercard,Debit,5864987017850552,258,YES,2,$17453,02/2006,2022,No,2034-12-01
2977,348,Visa,Debit,4228885239928189,543,NO,1,$28283,05/2008,2026,No,2033-12-01
3073,348,Visa,Credit,4210237285941913,160,YES,1,$13500,05/2010,2026,No,2032-10-01
3554,348,Visa,Credit,4877073763902898,786,YES,2,$13300,06/2012,2026,No,2030-05-01
3489,1493,Visa,Credit,4642496218651973,594,YES,1,$14400,06/2010,2026,No,2033-03-01
4003,1493,Visa,Credit,4244401907291512,120,YES,1,$4400,07/2012,2026,No,2028-01-01
1469,1493,Mastercard,Credit,5157439545898691,657,YES,1,$13000,02/2020,2020,No,2030-05-01
1470,1161,Mastercard,Credit,5597117503471640,934,NO,1,$16100,02/2020,2020,No,2032-11-01
1471,1161,Mastercard,Debit,5808372218918202,138,YES,2,$7629,02/2020,2020,No,2029-03-01
2691,217,Mastercard,Debit,5565497732362129,430,NO,1,$16538,04/2012,2026,No,2030-10-01
1364,217,Mastercard,Debit,5161929618424764,743,YES,1,$9737,02/2016,2016,No,2035-11-01
1266,217,Mastercard,Credit,5359358098670039,428,YES,1,$6500,02/2011,2014,No,2028-12-01
1267,217,Mastercard,Debit,5093514487076217,889,YES,2,$2650,02/2011,2013,No,2034-08-01
2107,1877,Mastercard,Debit,5260255791659846,428,YES,2,$6940,03/2006,2024,No,2028-02-01
2398,1877,Mastercard,Debit,5911939393457828,410,YES,2,$23408,04/1996,2022,No,2033-11-01
5414,1877,Visa,Credit,4226284680001632,966,YES,2,$9700,11/2026,2007,No,2028-10-01
3758,668,Mastercard,Debit,5624997997810589,992,NO,2,$10538,07/2006,2006,No,2029-04-01
4097,668,Mastercard,Debit,5752209560237460,385,YES,2,$6853,08/2001,2006,No,2033-07-01
5778,668,Mastercard,Debit,5470018669871087,598,YES,2,$607,12/2002,2010,No,2032-12-01
4318,668,Mastercard,Credit,5764603958082866,397,YES,1,$0,08/2010,2010,No,2032-04-01
5015,668,Visa,Debit,4378354586828464,644,YES,2,$8253,10/2026,2025,No,2031-05-01
3966,203,Mastercard,Credit,5175414290540891,497,NO,2,$2600,07/2011,2025,No,2031-04-01
5375,203,Mastercard,Credit,5079431552272493,813,NO,1,$7300,11/2002,2010,No,2034-10-01
5166,1738,Visa,Credit,4841586209388617,207,YES,1,$15000,10/2009,2024,No,2035-01-01
1472,1738,Mastercard,Credit,5133341979041600,497,YES,2,$18700,02/2020,2020,No,2034-08-01
5623,1738,Visa,Credit,4825181289428263,635,NO,1,$15700,11/2010,2014,No,2029-10-01
1473,713,Mastercard,Debit,5137811039972629,170,NO,2,$18101,02/2020,2020,No,2034-11-01
1775,713,Visa,Credit,4409545480052957,528,YES,1,$8400,02/2020,2020,No,2029-11-01
1474,1631,Mastercard,Credit,5782138554730431,217,YES,2,$20900,02/2020,2020,No,2030-01-01
1776,1631,Visa,Credit,4450097042295695,601,YES,1,$23700,02/2020,2020,No,2028-05-01
5978,1487,Visa,Debit,4911894810892317,769,YES,1,$26083,12/2009,2024,No,2034-04-01
2978,1487,Visa,Debit,4394014058373538,943,YES,1,$31589,05/2008,2022,No,2029-06-01
4946,1487,Visa,Credit,4984110253172329,453,YES,2,$24200,10/2000,2013,No,2028-05-01
1475,1265,Mastercard,Debit,5658875071888530,190,YES,2,$18321,02/2020,2020,No,2031-11-01
4127,370,Mastercard,Debit,5606824501502078,451,YES,1,$15377,08/2026,2025,No,2031-02-01
5093,370,Visa,Debit,4501704511432206,324,YES,1,$12990,10/2007,2016,No,2028-09-01
3490,370,Visa,Debit,4015096339812707,494,YES,1,$8509,06/2010,2010,No,2028-10-01
5702,1014,Visa,Debit,4467199760802877,176,YES,1,$96907,11/2014,2014,No,2030-08-01
5436,1014,Visa,Debit (Prepaid),4868297041449163,440,YES,2,$76,11/2005,2007,No,2031-01-01
1777,290,Visa,Debit,4052306795072868,369,YES,2,$31767,02/2020,2020,No,2033-04-01
1268,985,Mastercard,Credit,5936949471946678,372,YES,2,$16000,02/2011,2026,No,2032-11-01
2704,985,Visa,Credit,4862788591864799,466,YES,1,$300,04/2012,2026,No,2030-11-01
2808,135,Mastercard,Debit,5736838327060448,714,YES,2,$2236,05/2000,2015,No,2028-07-01
4791,135,Visa,Debit,4528854599819268,451,YES,2,$21591,09/2010,2010,No,2035-02-01
1476,307,Mastercard,Debit,5956798767354537,927,YES,2,$11521,02/2020,2020,No,2031-02-01
1154,1783,Visa,Credit,4172882144788973,902,YES,2,$11300,02/2008,2024,No,2030-07-01
2598,1783,Mastercard,Credit,5153494647482349,492,YES,1,$8400,04/2009,2025,No,2030-08-01
5908,1321,Visa,Debit,4709941855155413,122,YES,1,$18702,12/2007,2007,No,2031-12-01
3357,1511,Visa,Debit,4725438629956463,675,YES,1,$24806,06/2007,2007,No,2028-03-01
5502,1511,Visa,Debit,4992990568824247,457,YES,1,$19856,11/2007,2025,No,2028-08-01
1238,900,Visa,Debit (Prepaid),4580252759299284,397,YES,2,$68,02/2010,2010,No,2028-08-01
1477,953,Mastercard,Debit,5779387577644606,421,YES,1,$13390,02/2020,2020,No,2031-05-01
3605,406,Discover,Credit,6308795344040919,205,YES,2,$4200,06/2016,2016,No,2033-09-01
5167,1069,Visa,Debit,4439832703761219,424,YES,2,$2292,10/2009,2015,No,2031-09-01
5453,180,Mastercard,Credit,5881384408371205,312,NO,2,$7600,11/2006,2024,No,2033-04-01
2888,180,Visa,Credit,4966727954053977,756,YES,2,$6200,05/2005,2018,No,2028-10-01
3208,996,Mastercard,Credit,5784959743819578,348,YES,1,$12900,06/2025,2025,No,2030-01-01
4661,996,Mastercard,Debit,5617375085275816,228,YES,2,$18820,09/2008,2015,No,2029-06-01
3277,996,Visa,Debit,4813292561037475,979,YES,2,$16167,06/2026,2024,No,2028-02-01
1107,996,Mastercard,Credit,5659042637826477,857,YES,2,$4200,02/2007,2025,No,2032-10-01
3310,996,Mastercard,Debit,5691123059106648,190,YES,2,$18861,06/2006,2025,No,2035-12-01
1279,996,Visa,Debit,4803335286454198,568,NO,1,$27231,02/2011,2025,No,2033-04-01
1778,1866,Visa,Debit,4274334344737347,174,YES,1,$24390,02/2020,2020,No,2029-07-01
1478,1866,Mastercard,Debit,5073514573038606,802,YES,1,$3106,02/2020,2020,No,2031-09-01
2108,1981,Mastercard,Debit,5550999995379539,980,YES,2,$13595,03/2006,2010,No,2033-07-01
4151,1981,Mastercard,Credit,5384097503885721,704,YES,2,$12300,08/2005,2024,No,2028-06-01
3606,1981,Mastercard,Debit,5082019741631139,459,YES,1,$20743,06/2016,2016,No,2030-05-01
3248,1981,Mastercard,Debit,5843429452249829,570,YES,2,$17706,06/2003,2010,No,2030-03-01
2996,1981,Mastercard,Debit,5898198294277172,332,YES,2,$20962,05/2009,2024,No,2030-05-01
3257,870,Visa,Debit,4073664438482773,973,NO,1,$30160,06/2003,2017,No,2032-11-01
1039,870,Visa,Debit,4701143570043786,807,NO,1,$28937,02/2026,2022,No,2029-04-01
2080,16,Mastercard,Debit (Prepaid),5151149006132572,636,NO,2,$22,03/2005,2025,No,2029-08-01
4964,16,Mastercard,Debit,5496658602251095,962,YES,2,$7562,10/2002,2025,No,2035-11-01
4093,16,Mastercard,Debit,5571413073625472,741,YES,2,$17211,08/2025,2013,No,2035-12-01
2979,16,Visa,Credit,4255418851751854,361,NO,2,$9500,05/2008,2010,No,2032-12-01
3513,46,Mastercard,Debit,5718393085724653,117,YES,2,$24191,06/2011,2025,No,2030-03-01
3732,46,Mastercard,Debit (Prepaid),5358119472579247,129,YES,2,$68,07/2005,2006,No,2028-03-01
2925,46,Mastercard,Debit,5615933957470022,432,YES,2,$8037,05/2007,2010,No,2031-11-01
1167,46,Mastercard,Debit (Prepaid),5310685272979011,830,YES,2,$97,02/2009,2015,No,2029-03-01
2759,800,Mastercard,Debit,5306340091674907,523,YES,1,$18242,04/2016,2016,No,2033-02-01
1779,800,Visa,Debit (Prepaid),4338828980282998,148,YES,2,$62,02/2020,2020,No,2034-05-01
1479,1968,Mastercard,Debit (Prepaid),5439358068470043,309,YES,1,$46,02/2020,2020,No,2028-01-01
1298,697,Mastercard,Debit,5139001522381220,740,YES,2,$20195,02/2012,2026,No,2033-01-01
3640,697,Mastercard,Debit,5420521698473433,257,YES,2,$39818,06/2019,2019,No,2033-05-01
3074,697,Visa,Debit,4873407892539448,423,YES,2,$33736,05/2010,2010,No,2034-09-01
4239,1269,Mastercard,Debit,5205177909482379,911,YES,2,$17850,08/2008,2022,No,2035-09-01
3075,1782,Visa,Debit,4853013168432421,554,NO,2,$1981,05/2010,2014,No,2030-05-01
4289,1782,Mastercard,Debit,5770027992115355,811,YES,1,$15695,08/2009,2010,No,2032-10-01
2172,1782,Mastercard,Debit,5305462513282842,605,YES,2,$23475,03/2008,2025,No,2032-06-01
5366,1977,Mastercard,Credit,5656749855983523,315,YES,1,$12900,11/2001,2025,No,2028-12-01
2673,1977,Mastercard,Debit (Prepaid),5755720451424427,988,YES,1,$91,04/2011,2025,No,2034-09-01
4763,1734,Mastercard,Debit,5116904368864992,698,YES,2,$42116,09/2010,2025,No,2029-08-01
3300,1913,Visa,Debit,4082503635321960,947,NO,2,$21370,06/2005,2010,No,2030-03-01
5877,1913,Mastercard,Credit,5697567028506344,356,YES,2,$16200,12/2007,2025,No,2028-03-01
4735,858,Visa,Credit,4899127312611091,490,YES,2,$10700,09/2009,2025,No,2035-05-01
2633,858,Mastercard,Debit (Prepaid),5241392304445807,137,YES,1,$89,04/2010,2010,No,2032-05-01
4173,606,Mastercard,Debit,5691422356177731,349,YES,3,$11398,08/2006,2013,No,2028-10-01
5925,1564,Mastercard,Credit,5272030426588008,905,YES,2,$8200,12/2008,2010,No,2033-06-01
4240,1564,Mastercard,Credit,5399201189421219,479,YES,1,$6100,08/2008,2022,No,2033-04-01
3514,1564,Mastercard,Debit,5158754138100901,813,YES,1,$15820,06/2011,2025,No,2031-07-01
1480,1109,Mastercard,Debit,5607458054846909,252,YES,2,$9774,02/2020,2020,No,2033-11-01
3136,1301,Visa,Debit,4199613929770276,765,YES,1,$22833,05/2013,2013,No,2031-07-01
2787,1301,Visa,Debit,4729953228374508,461,YES,2,$34888,04/2019,2019,No,2032-03-01
3189,1301,Mastercard,Debit,5975006425756630,551,YES,1,$22297,05/2017,2017,No,2031-08-01
1481,1301,Mastercard,Debit,5016998590035219,597,YES,2,$30323,02/2020,2020,No,2033-07-01
4065,1399,Mastercard,Debit,5835253444174486,308,YES,1,$18162,07/2018,2018,No,2034-10-01
1482,1399,Mastercard,Credit,5314005209195975,991,YES,1,$8700,02/2020,2020,No,2030-09-01
5743,1775,Visa,Debit,4997798155113400,545,NO,1,$17620,11/2019,2019,No,2028-10-01
5542,1673,Visa,Debit,4251102360489444,439,YES,2,$17853,11/2008,2025,No,2034-06-01
2777,1673,Mastercard,Debit,5557372707231204,434,YES,1,$10794,04/2018,2018,No,2030-01-01
5598,1673,Mastercard,Debit,5865546237246039,155,YES,1,$15832,11/2010,2025,No,2029-07-01
3759,1957,Mastercard,Debit (Prepaid),5878511318941183,699,YES,1,$26,07/2006,2019,No,2031-01-01
5483,1957,Mastercard,Credit,5825403139414547,531,YES,2,$16300,11/2007,2024,No,2030-04-01
3564,1024,Mastercard,Debit,5847313041147612,574,YES,1,$33103,06/2013,2013,No,2035-06-01
4241,1024,Mastercard,Debit,5454341430423098,247,YES,1,$20847,08/2008,2010,No,2034-02-01
5268,1024,Mastercard,Debit,5183724144988670,569,YES,1,$31807,10/2013,2013,No,2032-01-01
1006,1024,Visa,Credit,4903105068681962,274,YES,1,$16100,02/2002,2014,No,2031-09-01
2825,1441,Mastercard,Debit,5370803294413435,851,YES,1,$28894,05/2002,2025,No,2032-01-01
2599,1103,Mastercard,Debit,5557896137687493,598,YES,2,$15409,04/2009,2010,No,2028-12-01
4984,1103,Mastercard,Credit,5675172699563859,294,YES,1,$5300,10/2003,2026,No,2034-01-01
2895,1103,Mastercard,Debit,5259283165298575,403,YES,1,$13469,05/2006,2024,No,2031-06-01
1483,431,Mastercard,Debit,5157956439521808,657,YES,1,$16407,02/2020,2020,No,2029-12-01
3378,165,Mastercard,Debit (Prepaid),5874195902667119,206,YES,2,$61,06/2008,2015,No,2032-06-01
5146,165,Mastercard,Debit,5803563077451662,827,YES,2,$40628,10/2009,2014,No,2031-01-01
2559,165,Mastercard,Debit,5283475217390040,149,YES,2,$24980,04/2008,2014,No,2035-09-01
1484,353,Mastercard,Debit,5316882967513700,122,YES,1,$10290,02/2020,2020,No,2034-12-01
5328,353,Mastercard,Debit (Prepaid),5962806753089588,217,YES,1,$84,10/2018,2018,No,2029-02-01
2154,1758,Visa,Debit,4631099146168683,597,YES,1,$13725,03/2007,2014,No,2028-02-01
4686,1758,Visa,Debit,4716755530325962,821,YES,2,$8278,09/2008,2010,No,2033-01-01
3440,1758,Visa,Debit,4053406246662206,491,YES,2,$13514,06/2009,2018,No,2031-05-01
2674,1758,Mastercard,Credit,5105518827174579,883,YES,1,$3800,04/2011,2025,No,2034-08-01
2478,1266,Mastercard,Debit,5192370991764802,603,YES,2,$15119,04/2005,2025,No,2035-08-01
3491,792,Visa,Debit (Prepaid),4073696489940421,274,YES,2,$81,06/2010,2010,No,2033-05-01
3249,1055,Mastercard,Debit,5476802835185783,744,YES,2,$1543,06/2003,2024,No,2034-09-01
1780,1159,Visa,Credit,4201957315957623,619,YES,1,$13200,02/2020,2020,No,2031-12-01
5484,1115,Mastercard,Credit,5345794459975216,412,YES,2,$6400,11/2007,2025,No,2030-09-01
2809,1115,Visa,Credit,4897384992083944,382,YES,1,$3500,05/2000,2007,No,2028-01-01
6138,1115,Visa,Debit,4171955938083789,251,YES,1,$12606,12/2018,2018,No,2032-07-01
